dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
NSD,ResNet,features/layer3-25,PPA,subj01,0.4591383005044639,0.8161915642943078,0.22717449002936616,0.6661561247532356,0.5021124405409515,0.5630551951175828
NSD,ResNet,features/layer3-25,OPA,subj01,0.4184932776464557,0.7503744738455994,0.1884913328833174,0.5636649262557262,0.4910474655021821,0.3761106844226621
NSD,ResNet,features/layer3-25,EBA,subj01,0.4799701012925899,0.7564324937869547,0.2503770020031664,0.5677962397702869,0.6771527886004165,0.635228610758701
NSD,ResNet,features/layer3-30,V1v,subj01,0.5166664815388836,0.7566257648247736,0.2943528475040208,0.5832771672064047,0.5833540721795021,0.5714042632838191
NSD,ResNet,features/layer3-30,V2v,subj01,0.4825421313697637,0.7400300476418997,0.2594259448351417,0.557945564555584,0.5506437184506646,0.5621219437707284
NSD,ResNet,features/layer3-30,V3v,subj01,0.4779994855700053,0.7678058601684891,0.24768986115173802,0.5920384341854229,0.5286560189429576,0.5080215353958076
NSD,ResNet,features/layer3-30,hV4,subj01,0.44171538383254566,0.7660947196067296,0.21160890854734032,0.585678468664229,0.49836243240204925,0.43781030908632906
NSD,ResNet,features/layer3-30,FFA-1,subj01,0.4241856907603423,0.7769432670676583,0.19744106863546884,0.6040487815970266,0.6122764852643826,0.5769788989905138
NSD,ResNet,features/layer3-30,VWFA-1,subj01,0.37940872785733815,0.6774839281263878,0.15504185609606153,0.4593356437351642,0.5030545942903357,0.3386504619866697
NSD,ResNet,features/layer3-30,PPA,subj01,0.45985805521789597,0.8177212864191742,0.22778400105285912,0.6688525963859605,0.5045230247390143,0.5621938954486155
NSD,ResNet,features/layer3-30,OPA,subj01,0.41867137914262575,0.750821023351444,0.1885059764336291,0.5641753663180405,0.49179697446238163,0.3766017610811651
NSD,ResNet,features/layer3-30,EBA,subj01,0.4839602663481267,0.76270953342861,0.254562756741094,0.5776495024981859,0.6865435186438343,0.6462816744786637
NSD,ResNet,features/layer3-5,V1v,subj01,0.5532014542060453,0.8134379601940412,0.33120198190105893,0.667223193893853,0.6251599473878046,0.5936842422339016
NSD,ResNet,features/layer3-5,V2v,subj01,0.5095377775056712,0.782360319114551,0.2881237027008492,0.6204721465445842,0.5811556103478419,0.5880254971505
NSD,ResNet,features/layer3-5,V3v,subj01,0.49038537153708134,0.786509430814051,0.2603801712431669,0.6187126680443248,0.5385836308081656,0.518793762296404
NSD,ResNet,features/layer3-5,hV4,subj01,0.4323574243136792,0.7505447408446134,0.20279040365536716,0.5626359861386265,0.47764703388274754,0.42442928381320694
NSD,ResNet,features/layer3-5,FFA-1,subj01,0.3720770974070198,0.6805698485916369,0.15097223464642992,0.4597092917825681,0.4756655797128766,0.45348915831499365
NSD,ResNet,features/layer3-5,VWFA-1,subj01,0.32152598373910535,0.5736719815814956,0.11005285185362952,0.3248851369363346,0.3910562889751873,0.2517571738968639
NSD,ResNet,features/layer3-5,PPA,subj01,0.41230947380835004,0.7316921156497093,0.18392832805465276,0.5357122351836119,0.42276136188751606,0.4734453005590472
NSD,ResNet,features/layer3-5,OPA,subj01,0.36656160876285365,0.6548155340538834,0.14594705001858066,0.429204046972375,0.42082657564612874,0.29684367391760214
NSD,ResNet,features/layer3-5,EBA,subj01,0.40797057865098824,0.6409167773168357,0.1784248322511805,0.3989157188522274,0.5166684035208591,0.48632710257197737
NSD,ResNet,features/layer4-1,V1v,subj01,0.44380324186537734,0.6492352881519303,0.21907607719913835,0.43313173354747975,0.4654330522427218,0.5013767786705918
NSD,ResNet,features/layer4-1,V2v,subj01,0.4193213051813297,0.6415415217506809,0.1995275722463993,0.4237499575669702,0.45280938997543313,0.4824021513278043
